profile_pic,username,date,comment
nurhafizahmail1999's profile picture,nurhafizahmail1999,174w,Saaih bila mahu upload video baru
ichanisaa_156's profile picture,ichanisaa_156,173w,saaih jiwa bpk able nya tu memang kuat jd anak kecil pada seneng sma dia ??
mahadeviii07's profile picture,mahadeviii07,173w,Saaih klok urusan anak kecil emng doyan??
lastrianitasyahyul's profile picture,lastrianitasyahyul,174w,Saaih??
hidayaaziz124's profile picture,hidayaaziz124,174w,Saaih... Padamu bgt dech ??????
dina_real_v's profile picture,dina_real_v,174w,saaiih
wnyhu's profile picture,wnyhu,173w,Saiih tu penyayang anak bgt yak anaknya??
ldylsptr_'s profile picture,ldylsptr_,174w,Sapa dong bang baru pulang dari pesantren
mee_ajaa_'s profile picture,mee_ajaa_,174w,Sapaa dong bang...
ayunvitasari_'s profile picture,ayunvitasari_,174w,sayangg??
syaachr's profile picture,syaachr,174w,Scarf siapa yg kamu pake? ??
t_cahyaningrum's profile picture,t_cahyaningrum,174w,Se 777
fatma_puspitasari's profile picture,fatma_puspitasari,174w,semangat ????
i.m.dina_'s profile picture,i.m.dina_,173w,Semoga segera bisa berkumpul kembali bang @saaihalilintar
sasquadssh's profile picture,sasquadssh,175w,Semua yang aku kerja kan ikhlas karena allah bismillah istiqoma heeee semangat yah bang saaih
lisna_opanyusuf's profile picture,lisna_opanyusuf,174w,Senyuman itu ibadah baby saaih.????
cibuybuyyy's profile picture,cibuybuyyy,174w,Senyumanmuuu saja gasieee soalnyaaa canduuuu adhdkslsmdjdiwp
zazkhiyahsbrn03's profile picture,zazkhiyahsbrn03,172w,sepertiga malam nya masih berlaku kan?
itss.leorii's profile picture,itss.leorii,175w,"Serumah aja yu, cape kangen terus??"
theislamic_vibez's profile picture,theislamic_vibez,174w,"setelah di pikir-pikir, kata-kata itu hanya berlaku bagi mereka yg sudah beristri, senyum ke istri = istri seneng = dimasakin = makan bareng = KENYANG DZOHIR BATHIN. ga caya? HAHHA CIAN DEH BELUM PERNAH NYOBA. yok cobain! sana cari ceweknya !! tapi maap, kami hanya bisa bantu ?DOA?, sekian pren, trims ; sams� ?????"
diahw19's profile picture,diahw19,173w,Setiap bang saih ngajak anak kecil sllu suka
mutyarariyani's profile picture,mutyarariyani,174w,Setuju bnget
indrifudholy's profile picture,indrifudholy,174w,Shal nya aja LV kerren banget
sapnadamayanti's profile picture,sapnadamayanti,175w,shopeefood ya mas?
alharun10's profile picture,alharun10,175w,Si ikhlas sudah pulang kampung om
parishisyl's profile picture,parishisyl,174w,siappp salahh! ??
elsyaannisaa's profile picture,elsyaannisaa,174w,Sip.
fatnersbear's profile picture,fatnersbear,174w,"skrg captionnya quotes"" ya??"
annjaaani's profile picture,annjaaani,175w,Slebew pal pale pal pale
4symdn's profile picture,4symdn,173w,"Smoga bs kumpul2 lg ya,,,yg satu bikin gemezz??"
khaaaiiirunn_'s profile picture,khaaaiiirunn_,175w,So sabar
nyv.23's profile picture,nyv.23,175w,Soo prouddd??
ke.rupukkulit_bon's profile picture,ke.rupukkulit_bon,174w,Spill maskernya dong
ayu_elbetan's profile picture,ayu_elbetan,174w,Suami ???? ??
fatehsmooth's profile picture,fatehsmooth,174w,sultan aihhh
andini1306's profile picture,andini1306,166w,SUMPAH MIRIP THORIK ????
floshop.e19's profile picture,floshop.e19,175w,Tambah gunteng yeyyyy ... ?? Semangat bang @saaihalilintar ... jagain saudara2x...??????
tzfatimah's profile picture,tzfatimah,165w,"Tapi badannya ""kaga"" ??"
nurindah0929's profile picture,nurindah0929,175w,Tapi capek dengan keadaan ikhlas akan mendapatkan kasih sayang sang pencipta ??
safnabidoex84's profile picture,safnabidoex84,174w,"Ter ngakak""??"
huhcindy's profile picture,huhcindy,175w,Terserah saaih aja??
kazuo_keii's profile picture,kazuo_keii,175w,The caption is everything lmao??
masbro_papua's profile picture,masbro_papua,175w,The next james bond
dddzzakia_'s profile picture,dddzzakia_,174w,Tolong auratny d jaga ya pak????
agzlours's profile picture,agzlours,175w,Tolong caption nyaa ngakakk ??
muntaz.mv's profile picture,muntaz.mv,174w,Tolong MB auratnya di jaga??????
rahmagriseldaa's profile picture,rahmagriseldaa,175w,"Tugas aku ngga numpuk sih bang, tapi susah bgt buat dikerjain ??"
putirenonilam01's profile picture,putirenonilam01,172w,"Udah kaya org tua sama anak nya ,????"
ldylsptr_'s profile picture,ldylsptr_,174w,Udah lama ga liat gen halilintar ??
gizeldasr's profile picture,gizeldasr,174w,udah pake kerudung tinggal bjunya aja blum di pake..
rosiinurfadilah_13's profile picture,rosiinurfadilah_13,175w,Udah pro banget bikin caption nya ????
blackte_'s profile picture,blackte_,174w,Ukhti aurora nya di jaga
radar.gelap_'s profile picture,radar.gelap_,174w,Umi�?
rosiinurfadilah_13's profile picture,rosiinurfadilah_13,174w,Untung yang membelah mata bukan hati ??
aviqia_'s profile picture,aviqia_,173w,uwu
sasquad_162002's profile picture,sasquad_162002,156w,Very good @saaihalilintar ????
ais.yah20's profile picture,ais.yah20,165w,Vibesnya gak ada lawan @saaihalilintar ??????
qahtanloaff's profile picture,qahtanloaff,175w,VIRGOUN?
nitha.amelia.108's profile picture,nitha.amelia.108,174w,Waduh ??
aini_rany's profile picture,aini_rany,174w,Wahahaaaaaaaa
prmstydew's profile picture,prmstydew,174w,wahh hebatt sekaliii
saaih.video's profile picture,saaih.video,175w,Wkwkkww ngakak
masakan_mbak_san's profile picture,masakan_mbak_san,174w,Wkwkw.. bisa aja..????
velmegandi's profile picture,velmegandi,174w,Wkwkwkkkk... ??????
rediniputriii's profile picture,rediniputriii,174w,Wkwkwkw bisa ae bang ????
indianisepti's profile picture,indianisepti,169w,Ya Allah ngakak sumpah??
_sindykhairiyan's profile picture,_sindykhairiyan,173w,Ya allah???
dewi_agni16's profile picture,dewi_agni16,174w,"Ya Salam, ga gitu konsepnya bang??"
thariqhalilintar's profile picture,thariqhalilintar,174w,yah baru ditinggal bentar..
aseloleejoss_'s profile picture,aseloleejoss_,174w,Yang bener ah
wtumewan's profile picture,wtumewan,174w,Yesss..????
nauraclarissanoviani's profile picture,nauraclarissanoviani,172w,Yg sabar ya qahtan gk di gitu in lg yan si kalian ??
thorjid.halilintar's profile picture,thorjid.halilintar,174w,Yg sama lebih seru bang saaih
susisnti___'s profile picture,susisnti___,173w,Yukkk nikah yukkk wkwk
